Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Minahasa Selatan,88.8,89.26,89.76
Minahasa Utara,96.24,96.53,96.62
Bolaang Mongondow Utara,87.35,87.53,87.86
Siau Tagulandang Biaro,88.87,89.04,89.44
Minahasa Tenggara,92.36,92.43,92.84
Bolaang Mongondow Selatan,80.42,80.97,81.59
Bolaang Mongondow Timur,91.1,91.37,91.76
Kota Manado,96.42,96.51,96.86
Kota Bitung,94.57,94.71,94.81
Kota Tomohon,99,99.32,99.56
Kota Kotamobagu,95.47,95.49,95.64
SULAWESI TENGAH,92.24,92.63,92.89
Banggai Kepulauan,92.2,92.32,92.86
Banggai,90.86,91.44,91.73
Morowali,85.14,85.17,85.42
Poso,96.79,97.2,97.23
Donggala,88.91,89.17,89.5
Toli-Toli,90.46,90.53,90.6
Buol,89.55,89.86,90.22
Parigi Moutong,92.76,92.58,92.66
Tojo Una-Una,91.17,91.56,92.02
Sigi,94.1,94.26,94.37
Banggai Laut,92.3,92.4,92.73
Morowali Utara,96.53,96.61,97.06
Kota Palu,98.09,98.37,98.57
SULAWESI SELATAN,93.14,93.19,93.53
Kepulauan Selayar,91.73,91.94,92.39
Bulukumba,95.95,95.83,96
Bantaeng,95.35,95.31,95.33
Jeneponto,92,92.28,92.39
Takalar,87.66,87.8,88.24
Gowa,87.83,88.37,88.91
Sinjai,98.13,98.21,98.3
Maros,89.46,89.5,89.61
Pangkajene dan Kepulauan,90.61,90.76,91.35
Barru,95.64,95.65,95.74
Bone,93.34,93.27,93.63
Soppeng,97.06,97.16,97.34
Wajo,90.33,90.65,90.65
Sidenreng Rappang,92.57,92.53,92.6
Pinrang,95.36,95.61,95.86
Enrekang,97.91,97.93,98.14
Luwu,92.79,92.79,92.83
Tana Toraja,88.48,88.54,89.05
Luwu Utara,90,90.2,90.33
Luwu Timur,90.34,90.34,90.44
Toraja Utara,87.32,87.8,88.43
Kota Makasar,94.52,94.65,94.99
Kota Parepare,96.76,97.06,97.24
Kota Palopo,97.58,97.61,97.58
SULAWESI TENGGARA,91.04,91.2,91.53
Buton,81.46,82.07,82.07
Muna,87.95,88.13,88.37
Konawe,93.53,93.76,93.81
Kolaka,90.23,90.25,90.42
Konawe Selatan,88.37,88.7,88.61
Bombana,85.77,85.92,86.08
Wakatobi,89.05,89.32,89.58
Kolaka Utara,98.38,98.48,98.72
Buton Utara,92.82,92.58,92.53
Konawe Utara,87.04,87.24,87.38
Kolaka Timur,99.29,99.3,99.26
Konawe Kepulauan,86.1,86.28,86.43
Muna Barat,89.35,89.59,89.71
Buton Tengah,83.01,83.32,83.79
Buton Selatan,73.43,74.22,74.51
Kota Kendari,94.92,94.98,95.14
Kota Baubau,90.94,91.24,91.35
GORONTALO,88.12,88.25,88.64
Boalemo,82.72,83.17,83.61
Gorontalo,83.27,83.6,84
Pohuwato,92.05,92.27,92.39
Bone Bolango,88.72,88.84,89.26
Gorontalo Utara,81.94,82.37,82.8
Kota Gorontalo,87.28,87.74,88.47
SULAWESI BARAT,89.79,90.25,90.6
Majene,94.19,94.68,95.16
Polewali Mandar,91.92,92.14,92.25
Mamasa,98.23,98.42,98.37
Mamuju,90.46,90.57,90.92
